eventid,roadname,median_hours_to_first_service
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WINDSOR PL,-82.27221173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MONTGOMERY ST,-82.27248951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,CHEMUNG ST,-82.37554506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WILSON ST,-82.43554506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,PEARL ST,-82.46248951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MARKET ST,-82.540822845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,PERSHING AV,-86.31610062277777
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WORDEN AV,-86.31915617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HARBOR ST,-88.8419339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,COMSTOCK PL,-89.29748951166667
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,PLUM ST,-90.02137840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,OVERLOOK DR,-90.18040617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,N WILBUR AV,-90.40790617833332
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WESTWOOD RD,-90.70554506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ALTON ST,-90.72915617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HUNTINGTON RD,-90.98721173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,VANN ST,-92.97512840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BERKELEY DR,-93.43735062277777
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,TERRACE RD,-93.45401728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ABERDEEN TER,-94.07582284499999
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ERICKSON ST,-94.11512840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ARCH ST,-94.23276728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BEATTIE ST,-94.258322845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,N WARREN ST,-94.365822845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,CHAMPLIN DR,-94.38887840055556
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ELLIS ST,-94.42471173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,GIFFORD ST,-95.13068395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S STATE ST,-95.36860062277778
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,UNION PL,-95.43304506722221
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WOODLAWN TER,-95.50568395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S MCBRIDE ST,-95.51721173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BURT ST,-95.55596173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,LEON ST,-95.65332284499999
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,E KENNEDY ST,-95.665822845
